DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY
"Feb 27, 2005",Sunday,89,53,41,35,28,51,58,102,161,279,423,552,793,738,852,761,710,587,479,345,254,198,134,96,7819,110,False,South,110,St Louis
"Feb 28, 2005",Monday,42,22,20,23,45,122,346,693,514,650,729,782,805,833,816,867,991,917,694,484,383,309,191,127,11405,110,False,South,110,St Louis
"Mar 1, 2005",Tuesday,48,19,32,19,46,123,229,365,466,627,711,977,1033,1062,1054,1197,1179,994,744,546,470,253,159,86,12439,110,False,North,110,St Louis
"Mar 2, 2005",Wednesday,48,42,28,21,44,90,191,377,538,583,740,943,1070,1032,1033,1132,1154,1105,793,539,441,250,169,87,12450,110,False,North,110,St Louis
"Mar 3, 2005",Thursday,50,35,37,24,33,116,194,375,525,617,814,965,1074,1050,1052,1142,1226,1116,823,595,428,345,158,91,12885,110,False,North,110,St Louis
"Mar 4, 2005",Friday,50,44,37,22,30,94,212,376,518,655,869,1204,1240,1211,1276,1234,1275,1169,895,685,513,442,260,154,14465,110,False,North,110,St Louis
"Mar 5, 2005",Saturday,108,53,51,26,40,70,222,204,362,611,929,1098,1320,1263,1349,1305,1175,917,864,639,427,356,207,131,13727,110,False,North,110,St Louis
"Mar 6, 2005",Sunday,98,56,38,24,20,49,141,140,228,395,633,844,1033,996,1060,1077,858,679,499,306,225,143,101,52,9695,110,False,North,110,St Louis
"Mar 7, 2005",Monday,35,21,15,17,36,123,175,347,385,553,692,858,1019,985,1022,1130,1223,993,773,517,305,269,90,100,11683,110,False,North,110,St Louis
"Mar 8, 2005",Tuesday,41,31,26,19,44,106,204,366,472,654,844,1016,1087,1036,1042,1161,1145,994,780,541,435,230,136,85,12495,110,False,North,110,St Louis
"Mar 9, 2005",Wednesday,47,30,27,19,41,111,188,406,499,655,789,959,1058,1088,1032,1118,1174,1006,810,566,415,338,140,110,12626,110,False,North,110,St Louis
"Mar 10, 2005",Thursday,51,35,35,20,35,126,197,390,404,523,633,710,822,835,881,1007,1033,965,720,525,477,312,148,92,10976,110,False,North,110,St Louis
"Mar 11, 2005",Friday,45,35,30,16,40,79,203,378,435,606,803,1022,1167,1134,1134,1211,1223,1044,858,670,447,358,212,133,13283,110,False,North,110,St Louis
"Mar 12, 2005",Saturday,89,50,65,34,29,52,136,229,380,627,849,1060,1269,1317,1407,1272,1098,868,748,561,349,283,202,108,13082,110,False,North,110,St Louis
"Mar 13, 2005",Sunday,77,37,45,32,28,32,79,139,206,405,646,871,1083,1154,1132,1062,863,715,513,331,229,158,102,81,10020,110,True,North,110,St Louis
"Mar 14, 2005",Monday,46,22,26,22,32,106,167,368,433,634,752,1006,1056,1064,1074,1159,1229,1076,752,533,357,260,134,90,12398,110,False,North,110,St Louis
"Mar 15, 2005",Tuesday,53,22,16,18,33,109,207,370,438,671,799,1005,1089,1087,1064,1192,1256,1145,846,566,473,274,143,81,12957,110,False,North,110,St Louis
"Mar 16, 2005",Wednesday,49,29,31,19,37,118,201,371,447,588,693,849,1013,1018,995,1181,1224,1046,839,532,401,303,125,107,12216,110,False,North,110,St Louis
